product_user_id,account_id,email,role,plan_tier,signup_date,last_active_date,is_active
1,129,xander.kim@globalnetworks.com,editor,free,2023-07-30,2025-02-16,True
2,850,ivy.smith@nexusdynamics.com,viewer,professional,2024-09-08,2025-02-25,True
3,248,frank.ingram@fusioncorp.com,admin,starter,2022-01-25,2025-02-24,True
4,972,nate.taylor@nexussystems.com,editor,starter,2023-12-10,2025-02-26,True
5,812,mia.lopez@pinnacleplatforms.com,editor,starter,2021-06-08,2025-02-08,True
6,502,vince.quinn@velocityinc.com,viewer,professional,2023-03-13,2025-02-11,True
7,605,ivy.quinn@catalystsoftware.com,editor,starter,2023-10-31,2024-10-26,False
8,353,jack.taylor@summittechnologies.com,admin,professional,2025-02-13,2025-01-31,True
9,237,alice.park@catalystanalytics.com,editor,starter,2025-01-22,2025-02-28,False
10,816,jack.quinn@nexuspartners.com,viewer,starter,2025-01-07,2025-02-10,True
11,254,rosa.hall@globalholdings.com,editor,enterprise,2023-03-24,2025-02-02,True
12,377,bob.evans@globalinc.com,admin,enterprise,2023-10-11,2025-02-03,True
13,394,ivy.smith@quantumsolutions.com,editor,professional,2024-06-21,2025-02-13,True
14,510,carol.davis@synergyservices.com,editor,free,2020-07-03,2020-10-21,False
15,803,nate.davis@synergyanalytics.com,viewer,starter,2025-01-08,2025-02-20,True
16,461,carol.adams@globalnetworks.com,editor,professional,2023-07-08,2025-01-30,True
17,895,nate.owens@synergyservices.com,viewer,enterprise,2025-01-17,2025-02-12,True
18,646,,admin,professional,2023-08-14,2025-02-27,True
19,997,vince.evans@apexsystems.com,editor,free,2024-08-15,2025-02-03,True
20,497,jack.jones@vanguardtechnologies.com,viewer,starter,2023-02-15,2025-01-31,True
21,715,grace.evans@globalenterprises.com,editor,starter,2025-01-20,2025-02-10,True
22,609,steve.ingram@atlassoftware.com,admin,enterprise,2024-07-09,2024-08-23,False
23,124,frank.hall@optimatechnologies.com,admin,free,2022-08-18,2025-02-27,True
24,622,alice.owens@novaenterprises.com,viewer,starter,2024-11-29,2025-02-17,True
25,885,frank.hall@pinnacleinc.com,admin,enterprise,2023-05-11,2025-02-05,True
26,282,mia.adams@pinnaclesoftware.com,editor,starter,2022-06-14,2025-02-19,True
27,498,rosa.clark@optimaplatforms.com,admin,starter,2024-04-02,2024-09-16,False
28,375,jack.park@atlasnetworks.com,viewer,professional,2025-02-12,2025-02-03,True
29,197,tina.ingram@vertexinc.com,admin,enterprise,2024-11-13,2025-02-13,True
30,243,bob.kim@summitholdings.com,viewer,professional,2023-11-13,2025-02-07,True
31,864,steve.foster@acmegroup.com,viewer,starter,2023-07-11,2025-02-15,True
32,593,frank.baker@synergytechnologies.com,editor,enterprise,2025-01-26,2025-02-05,True
33,923,,viewer,professional,2024-07-11,2025-02-28,False
34,593,grace.adams@synergytechnologies.com,viewer,enterprise,2025-02-17,2025-02-03,True
35,667,quinn.taylor@vertexanalytics.com,viewer,starter,2025-01-08,2025-02-03,True
36,836,xander.baker@summitanalytics.com,viewer,starter,2024-08-24,2025-02-01,True
37,525,uma.jones@vertexnetworks.com,viewer,professional,2024-10-19,2025-02-24,True
38,647,hank.adams@quantumcorp.com,viewer,enterprise,2025-01-08,2025-02-16,True
39,102,frank.taylor@summitservices.com,viewer,professional,2022-01-12,2022-03-04,False
40,749,bob.lopez@globallabs.com,viewer,starter,2022-08-07,2025-02-27,True
41,973,vince.miller@zenithlabs.com,editor,free,2022-09-15,2025-02-27,True
42,879,paul.davis@summitdigital.com,editor,professional,2024-09-17,2025-02-20,True
43,224,uma.jones@velocityinc.com,viewer,professional,2024-08-20,2025-02-27,True
44,683,carol.garcia@optimatechnologies.com,admin,starter,2025-01-29,2025-02-22,True
45,572,vince.quinn@horizonanalytics.com,viewer,starter,2024-01-06,2025-01-30,True
46,894,paul.garcia@quantumsoftware.com,viewer,starter,2022-01-04,2022-03-03,False
47,7,leo.ingram@elevatedynamics.com,admin,professional,2024-06-29,2025-02-23,True
48,377,frank.foster@globalinc.com,editor,enterprise,2021-08-28,2025-02-23,True
49,391,frank.taylor@atlasinc.com,admin,professional,2022-11-06,2025-01-29,True
50,615,jack.jones@pacificinc.com,editor,professional,2025-01-26,2025-02-25,True
51,795,mia.quinn@atlassolutions.com,viewer,starter,2024-12-01,2025-02-11,True
52,561,frank.nguyen@velocitydynamics.com,viewer,free,2024-11-10,2025-02-19,True
53,883,uma.clark@vanguardcorp.com,viewer,free,2024-05-15,2024-06-10,False
54,170,tina.evans@novaanalytics.com,editor,enterprise,2024-12-23,2025-02-12,True
55,595,hank.evans@apextechnologies.com,editor,free,2024-12-10,2025-02-10,True
56,219,ivy.miller@fusionplatforms.com,editor,free,2023-09-24,2025-02-27,True
57,984,rosa.davis@pacificdynamics.com,viewer,starter,2024-07-31,2025-02-22,True
58,80,mia.evans@optimaenterprises.com,editor,professional,2023-04-28,2024-03-19,False
59,413,olivia.kim@synergyholdings.com,admin,professional,2024-07-13,2025-02-14,True
60,927,xander.owens@catalystsystems.com,viewer,professional,2022-04-11,2023-02-14,False
61,821,hank.baker@catalystenterprises.com,admin,starter,2024-10-11,2025-02-28,False
62,38,hank.miller@catalystlabs.com,viewer,starter,2024-10-01,2025-02-02,True
63,79,leo.garcia@apexsoftware.com,editor,professional,2024-07-03,2025-02-14,True
64,245,bob.lopez@acmeservices.com,editor,professional,2025-01-05,2025-02-24,True
65,525,leo.adams@vertexnetworks.com,viewer,professional,2024-02-13,2025-02-14,True
66,691,tina.owens@globalsystems.com,editor,enterprise,2023-10-23,2025-02-09,True
67,724,uma.adams@fusioninc.com,editor,free,2024-06-11,2025-02-21,True
68,48,tina.quinn@catalystsoftware.com,admin,free,2024-04-27,2024-07-30,False
69,620,alice.nguyen@summitdynamics.com,admin,professional,2024-11-13,2025-02-02,True
70,300,nate.rivera@novadigital.com,editor,professional,2024-01-10,2025-02-04,True
71,477,nate.taylor@pinnacledigital.com,editor,professional,2022-03-16,2025-02-25,True
72,288,mia.jones@horizonsoftware.com,admin,free,2024-06-21,2025-02-06,True
73,714,quinn.miller@zenithtechnologies.com,viewer,enterprise,2024-09-24,2025-02-21,True
74,748,uma.kim@apexgroup.com,admin,free,2024-12-15,2025-02-11,True
75,729,eve.adams@elevatecorp.com,viewer,starter,2021-04-23,2025-02-19,True
76,324,wendy.park@quantumgroup.com,editor,professional,2022-02-11,2023-01-31,False
77,828,eve.owens@apexlabs.com,viewer,starter,2024-08-21,2025-02-21,True
78,130,dan.davis@vertexenterprises.com,viewer,starter,2023-09-25,2025-01-31,True
79,860,frank.taylor@pacificpartners.com,editor,enterprise,2024-12-01,2025-02-09,True
80,3,eve.taylor@pacificplatforms.com,editor,professional,2024-12-17,2025-02-20,True
81,654,nate.owens@elevateanalytics.com,viewer,starter,2023-12-30,2025-02-04,True
82,561,frank.clark@velocitydynamics.com,viewer,free,2024-11-03,2025-02-28,False
83,511,grace.lopez@pacificdigital.com,editor,enterprise,2024-12-23,2025-02-16,True
84,561,xander.lopez@velocitydynamics.com,admin,free,2024-11-12,2024-12-13,False
85,401,olivia.garcia@novatechnologies.com,admin,starter,2024-08-28,2025-02-18,True
86,883,carol.lopez@vanguardcorp.com,viewer,free,2024-01-05,2025-02-11,True
87,414,rosa.park@quantumsystems.com,editor,free,2023-03-06,2023-09-25,False
88,406,rosa.baker@vertexcorp.com,admin,professional,2024-09-13,2025-02-11,True
89,250,leo.lopez@globalanalytics.com,viewer,professional,2024-10-06,2025-02-03,True
90,330,tina.adams@synergyanalytics.com,admin,professional,2024-06-26,2024-10-21,False
91,41,xander.owens@novatechnologies.com,viewer,enterprise,2023-10-09,2025-02-02,True
92,521,nate.quinn@vertexdynamics.com,admin,starter,2024-10-12,2025-02-17,True
93,678,karen.evans@novasystems.com,viewer,enterprise,2022-10-19,2025-02-05,True
94,973,leo.ingram@zenithlabs.com,admin,free,2022-04-07,2022-10-31,False
